id,cal_event_uid,event_owner,status,event_start,event_end,event_updated
4,072s26dtr71p5vgsal39i53bd0,fakerachellette@gmail.com,confirmed,2023-06-30 13:30:00,2023-06-30 14:30:00,2023-06-28 21:56:38.115
5,p82620m4jgo0rogvnt2t16hsk8,fakerachellette@gmail.com,confirmed,2023-07-01 09:00:00,2023-07-01 10:00:00,2023-06-28 22:06:56.143
6,q43mn2361sreho74g6fjn4t52g,fakerachellette@gmail.com,confirmed,2023-06-30 10:00:00,2023-06-30 11:30:00,2023-06-28 23:45:35.24
7,bvi250kh9bea45carqhdhec2bg,fakerachellette@gmail.com,confirmed,2023-06-30 15:00:00,2023-06-30 16:30:00,2023-06-28 21:57:50.498
8,7ek3fc9kog4kpv1fthq162qhno,fakerachellette@gmail.com,confirmed,2023-07-01 10:30:00,2023-07-01 11:30:00,2023-06-29 00:06:41.893
9,8scuicupjlkge00sbpiga48umk,fakerachellette@gmail.com,confirmed,2023-07-01 14:45:00,2023-07-01 16:15:00,2023-06-29 00:05:08.487
10,8thpdnu9e4k7k8cop79pda9880,fakerachellette@gmail.com,confirmed,2023-07-01 13:00:00,2023-07-01 14:00:00,2023-06-29 00:01:10.692
11,pjhcra9jcp39j7b063vqf6m9o4,fakerachellette@gmail.com,confirmed,2023-07-02 14:00:00,2023-07-02 15:30:00,2023-06-29 00:27:28.555
12,aa16dgfmp0o0tlvbte1nmvjr5g,fakerachellette@gmail.com,confirmed,2023-07-02 09:00:00,2023-07-02 10:00:00,2023-06-29 00:11:35.388
13,46lnuskt5vaf65djlniafg6274,fakerachellette@gmail.com,confirmed,2023-07-02 10:30:00,2023-07-02 11:30:00,2023-06-29 00:26:42.383
14,76cjdf0sa5jh4uossn9u5dbgl0,fakerachellette@gmail.com,confirmed,2023-07-06 09:30:00,2023-07-06 11:00:00,2023-06-29 00:28:13.525
15,920b74tsg7gc1q88gcb5c03gc0,fakerachellette@gmail.com,confirmed,2023-07-05 09:30:00,2023-07-05 11:00:00,2023-06-29 00:28:49.199
17,fd33ueklcvnckt9ekdaj8e1p8g,fakerachellette@gmail.com,confirmed,2023-07-04 09:30:00,2023-07-04 11:00:00,2023-06-29 01:10:17.648
18,89fls7fa0re5hcn96u2bk1hn4g,fakerachellette@gmail.com,confirmed,2023-07-05 13:00:00,2023-07-05 14:00:00,2023-06-29 01:10:10.593
19,r5fki29mqj4fouvgirveh2d464,fakerachellette@gmail.com,confirmed,2023-06-30 12:00:00,2023-06-30 13:00:00,2023-06-29 02:39:56.429
20,c2a0dj0knnjdlf4pnurvo9j11s,fakerachellette@gmail.com,confirmed,2023-07-05 15:00:00,2023-07-05 16:00:00,2023-06-29 02:10:58.765
21,9dqd3bthb2102tsene2t7cufk0,fakerachellette@gmail.com,confirmed,2023-07-04 15:30:00,2023-07-04 16:30:00,2023-06-29 02:45:26.66
22,v54cseear6bjpcgg1cniuq2lgk,fakerachellette@gmail.com,confirmed,2023-07-12 13:00:00,2023-07-12 13:30:00,2023-06-29 02:50:29.866
23,t9e6sao2qirj8i3t6rm08idbrk,fakerachellette@gmail.com,confirmed,2023-07-09 10:00:00,2023-07-09 11:30:00,2023-06-29 06:34:44.535
24,2979s4uio6114l5phr7jsi6n9c,fakerachellette@gmail.com,confirmed,2023-07-06 15:15:00,2023-07-06 16:15:00,2023-06-29 08:38:58.714
26,287nvbre0sgulpd0aeeu9ifl5g,fakerachellette@gmail.com,confirmed,2023-07-04 15:30:00,2023-07-04 16:30:00,2023-06-29 21:35:32.935
25,4fbu88pplhrih90v51pqmitppc,fakerachellette@gmail.com,confirmed,2023-07-11 09:00:00,2023-07-11 10:00:00,2023-06-29 22:11:35.867
28,h4182dq36m0ah8ahj6kai46reo,fakerachellette@gmail.com,confirmed,2023-07-11 13:30:00,2023-07-11 15:00:00,2023-06-29 22:32:16.732
29,dhuqjv8251nrfejb6a7rd5d3j4,fakerachellette@gmail.com,confirmed,2023-07-09 10:00:00,2023-07-09 11:00:00,2023-06-30 00:06:00.824
27,tuefi3rhimdukcjud2v509pm5c,fakerachellette@gmail.com,confirmed,2023-07-08 14:00:00,2023-07-08 15:00:00,2023-06-30 00:06:39.837
16,q69r3pa7misonhsc1dc3fnqjo0,fakerachellette@gmail.com,confirmed,2023-07-12 14:00:00,2023-07-12 15:30:00,2023-07-02 11:05:48.276
