'id','caleventuid','eventowner','status','eventstart','eventend','eventupdated'
1,'0v4fs27ntvr0d8nqo8v1uve7j5','boostlymagic@gmail.com','confirmed','2023-05-16 20:15:00','2023-05-16 22:45:00','2023-05-16 05:56:33.006'
2,'i2n4put8mml3kf3rlfn68daark','fakerachellette@gmail.com','confirmed','2023-05-30 09:00:00','2023-05-30 09:30:00','2023-05-29 04:35:17.753'
3,'b69f0auvl3gu45n6mvifnn5f80','fakerachellette@gmail.com','confirmed','2023-05-30 10:45:00','2023-05-30 11:45:00','2023-05-29 05:02:52.964'
4,'h5ri5p2aqp7r1jrgntrlpug7b0','fakerachellette@gmail.com','confirmed','2023-06-02 14:00:00','2023-06-02 15:00:00','2023-05-30 04:14:37.084'
5,'tdvms0kfvanbjuid50l83gs73c','fakerachellette@gmail.com','confirmed','2023-05-31 14:15:00','2023-05-31 15:15:00','2023-05-30 06:34:41.181'
6,'6diiipdhiflt44smpeq9afkkc4','fakerachellette@gmail.com','confirmed','2023-06-02 15:00:00','2023-06-02 16:00:00','2023-05-30 06:45:04.048'
7,'4ocf7r7m6n1aq6ahu5aelrtpio','fakerachellette@gmail.com','confirmed','2023-06-01 11:30:00','2023-06-01 12:30:00','2023-05-31 04:00:44.099'
8,'mibekeboc37299ktuqbj6h29a0','fakerachellette@gmail.com','confirmed','2023-06-02 12:30:00','2023-06-02 12:30:00','2023-05-31 04:06:24.001'
9,'714e6rcddfos2qslmj4nk4u9s4','fakerachellette@gmail.com','confirmed','2023-06-02 16:15:00','2023-06-02 16:45:00','2023-05-31 05:04:53.432'
10,'hcht6epgng6j0u3bab4sg90t9o','fakerachellette@gmail.com','cancelled','2023-06-02 09:00:00','2023-06-02 10:00:00','2023-05-31 06:03:16.644791'
11,'3dssafibq1agrg3kp8gu4kne5k','fakerachellette@gmail.com','confirmed','2023-06-02 17:45:00','2023-06-02 18:15:00','2023-06-02 03:03:16.944'
